Unnamed: 0,file_name,classes,balance
2354,empty_space_dataset/empty_space_train_data/ra_189.28023763564136_dec_-1.672568813865681.fits,empty_space,"(-9.999, 2499.75]"
1669,dual_AGN_datasets/train_data/0_with_AGN_1099.fits,dual_agn,"(-9.999, 2499.75]"
9551,single_AGN_datasets/confirmed_single_AGN/QSO_000953.23+022414.0.fits,single_agn,"(7499.25, 9999.0]"
9906,single_AGN_datasets/confirmed_single_AGN/QSO_134854.62+003445.4.fits,single_agn,"(7499.25, 9999.0]"
8125,single_AGN_datasets/confirmed_single_AGN/QSO_012436.50+050146.8.fits,single_agn,"(7499.25, 9999.0]"
2111,empty_space_dataset/empty_space_train_data/ra_189.04760605669398_dec_-1.4399372349183124.fits,empty_space,"(-9.999, 2499.75]"
1934,dual_AGN_datasets/train_data/4_with_AGN_212.fits,dual_agn,"(-9.999, 2499.75]"
5118,merger_datasets/train_data/46-cutout-HSC-G-9317-pdr3_wide.fits,merger,"(4999.5, 7499.25]"
8687,single_AGN_datasets/confirmed_single_AGN/QSO_011002.17-003223.1.fits,single_agn,"(7499.25, 9999.0]"
6296,offset_AGN_datasets/train_data/3_with_AGN_888.fits,offset_agn,"(4999.5, 7499.25]"
197,dual_AGN_datasets/train_data/1_with_AGN_1260.fits,dual_agn,"(-9.999, 2499.75]"
1387,dual_AGN_datasets/train_data/8_with_AGN_591.fits,dual_agn,"(-9.999, 2499.75]"
4702,merger_datasets/train_data/6470-cutout-HSC-G-9856-pdr3_wide.fits,merger,"(2499.75, 4999.5]"
8455,single_AGN_datasets/confirmed_single_AGN/QSO_104948.38-015445.3.fits,single_agn,"(7499.25, 9999.0]"
1058,dual_AGN_datasets/train_data/5_with_AGN_362.fits,dual_agn,"(-9.999, 2499.75]"
9169,single_AGN_datasets/confirmed_single_AGN/UNK_110500.26+003933.1.fits,single_agn,"(7499.25, 9999.0]"
3191,empty_space_dataset/empty_space_train_data/ra_189.1012902672203_dec_-1.5115161822867336.fits,empty_space,"(2499.75, 4999.5]"
5519,merger_datasets/train_data/508-cutout-HSC-G-9558-pdr3_wide.fits,merger,"(4999.5, 7499.25]"
5260,merger_datasets/train_data/3318-cutout-HSC-G-9594-pdr3_wide.fits,merger,"(4999.5, 7499.25]"
3743,empty_space_dataset/empty_space_train_data/ra_189.12813237248346_dec_-1.6636214454446283.fits,empty_space,"(2499.75, 4999.5]"
9911,single_AGN_datasets/confirmed_single_AGN/QSO_013456.95-004214.8.fits,single_agn,"(7499.25, 9999.0]"
3629,empty_space_dataset/empty_space_train_data/ra_189.5933955303782_dec_-1.207305655970944.fits,empty_space,"(2499.75, 4999.5]"
6495,offset_AGN_datasets/train_data/3_with_AGN_1002.fits,offset_agn,"(4999.5, 7499.25]"
2875,empty_space_dataset/empty_space_train_data/ra_189.11918500406242_dec_-1.717305655970944.fits,empty_space,"(2499.75, 4999.5]"
1631,dual_AGN_datasets/train_data/6_with_AGN_964.fits,dual_agn,"(-9.999, 2499.75]"
2017,empty_space_dataset/empty_space_train_data/ra_189.11023763564134_dec_-1.2162530243919967.fits,empty_space,"(-9.999, 2499.75]"
8096,single_AGN_datasets/confirmed_single_AGN/QSO_123020.78-010535.6.fits,single_agn,"(7499.25, 9999.0]"
3515,empty_space_dataset/empty_space_train_data/ra_189.4412902672203_dec_-1.6457267086025231.fits,empty_space,"(2499.75, 4999.5]"
9037,single_AGN_datasets/confirmed_single_AGN/QSO_101859.06+000845.7.fits,single_agn,"(7499.25, 9999.0]"
1351,dual_AGN_datasets/train_data/8_with_AGN_155.fits,dual_agn,"(-9.999, 2499.75]"
5038,merger_datasets/train_data/6304-cutout-HSC-G-9612-pdr3_wide.fits,merger,"(4999.5, 7499.25]"
7807,offset_AGN_datasets/train_data/14_with_AGN_951.fits,offset_agn,"(7499.25, 9999.0]"
7760,offset_AGN_datasets/train_data/0_with_AGN_791.fits,offset_agn,"(7499.25, 9999.0]"
294,dual_AGN_datasets/train_data/4_with_AGN_897.fits,dual_agn,"(-9.999, 2499.75]"
1076,dual_AGN_datasets/train_data/17_with_AGN_1140.fits,dual_agn,"(-9.999, 2499.75]"
194,dual_AGN_datasets/train_data/1_with_AGN_25.fits,dual_agn,"(-9.999, 2499.75]"
3454,empty_space_dataset/empty_space_train_data/ra_189.11918500406242_dec_-1.2699372349183125.fits,empty_space,"(2499.75, 4999.5]"
397,dual_AGN_datasets/train_data/0_with_AGN_61.fits,dual_agn,"(-9.999, 2499.75]"
943,dual_AGN_datasets/train_data/1_with_AGN_912.fits,dual_agn,"(-9.999, 2499.75]"
9949,single_AGN_datasets/confirmed_single_AGN/QSO_010423.63+013407.7.fits,single_agn,"(7499.25, 9999.0]"
4989,merger_datasets/train_data/7121-cutout-HSC-G-9374-pdr3_wide.fits,merger,"(2499.75, 4999.5]"
3239,empty_space_dataset/empty_space_train_data/ra_188.98497447774662_dec_-1.5920424980762073.fits,empty_space,"(2499.75, 4999.5]"
6077,offset_AGN_datasets/train_data/6_with_AGN_191.fits,offset_agn,"(4999.5, 7499.25]"
1551,dual_AGN_datasets/train_data/5_with_AGN_1211.fits,dual_agn,"(-9.999, 2499.75]"
4591,merger_datasets/train_data/2141-cutout-HSC-G-9556-pdr3_wide.fits,merger,"(2499.75, 4999.5]"
8213,single_AGN_datasets/confirmed_single_AGN/QSO_140918.81-014148.8.fits,single_agn,"(7499.25, 9999.0]"
2533,empty_space_dataset/empty_space_train_data/ra_189.0833955303782_dec_-1.9678319717604178.fits,empty_space,"(2499.75, 4999.5]"
1083,dual_AGN_datasets/train_data/5_with_AGN_228.fits,dual_agn,"(-9.999, 2499.75]"
1635,dual_AGN_datasets/train_data/7_with_AGN_224.fits,dual_agn,"(-9.999, 2499.75]"
1237,dual_AGN_datasets/train_data/9_with_AGN_222.fits,dual_agn,"(-9.999, 2499.75]"
5001,merger_datasets/train_data/687-cutout-HSC-G-9806-pdr3_wide.fits,merger,"(4999.5, 7499.25]"
457,dual_AGN_datasets/train_data/3_with_AGN_505.fits,dual_agn,"(-9.999, 2499.75]"
7596,offset_AGN_datasets/train_data/10_with_AGN_269.fits,offset_agn,"(7499.25, 9999.0]"
8302,single_AGN_datasets/confirmed_single_AGN/UNK_100532.56+004155.9.fits,single_agn,"(7499.25, 9999.0]"
3157,empty_space_dataset/empty_space_train_data/ra_189.09234289879925_dec_-1.8067793401814705.fits,empty_space,"(2499.75, 4999.5]"
6574,offset_AGN_datasets/train_data/18_with_AGN_685.fits,offset_agn,"(4999.5, 7499.25]"
2482,empty_space_dataset/empty_space_train_data/ra_189.2355007935361_dec_-1.5473056559709442.fits,empty_space,"(-9.999, 2499.75]"
7631,offset_AGN_datasets/train_data/1_with_AGN_633.fits,offset_agn,"(7499.25, 9999.0]"
1998,dual_AGN_datasets/train_data/4_with_AGN_1314.fits,dual_agn,"(-9.999, 2499.75]"
3569,empty_space_dataset/empty_space_train_data/ra_189.3607639514308_dec_-1.2788846033393653.fits,empty_space,"(2499.75, 4999.5]"
7132,offset_AGN_datasets/train_data/19_with_AGN_0.fits,offset_agn,"(4999.5, 7499.25]"
7080,offset_AGN_datasets/train_data/0_with_AGN_166.fits,offset_agn,"(4999.5, 7499.25]"
7899,offset_AGN_datasets/train_data/14_with_AGN_665.fits,offset_agn,"(7499.25, 9999.0]"
2256,empty_space_dataset/empty_space_train_data/ra_189.01181658300976_dec_-1.9678319717604178.fits,empty_space,"(-9.999, 2499.75]"
881,dual_AGN_datasets/train_data/8_with_AGN_1400.fits,dual_agn,"(-9.999, 2499.75]"
